ID,Reference,Site,Lat,Long,Biome,LandUse,HumFoot,MAP,MAT,SOC,BulkDens,SoilNit,SoilSand,soilpH,Methane
199,Song et al. 2017,"Liangshui, China",47.18,128.88,Temperate,Reforestation,34,622,2,228,123,15,37,6.4,-0.058
201,Inclán et al. 2012,"Madrid, Spain",40.56,-4.14,Subtropical,Reforestation,34,411,12,1041,113,9,35,5.5,-3.402
202,Inclán et al. 2012,"Madrid, Spain",40.59,-3.92,Subtropical,Reforestation,90,429,13,1041,113,9,35,5.5,-0.902
203,Inclán et al. 2012,"Madrid, Spain",40.72,-4.12,Subtropical,Reforestation,46,648,9,487,115,29,40,5.3,-5.501
204,Kähkönen et al. 2002,"Mämmilampi, Finland",61.8,24.31,Boreal,Secondary Forest,28,660,3,317,128,18,77,4.1,-33.2
205,Wang et al. 2017,"Mangshan Nature Reserve, Hunan, China",24.87,112.72,Subtropical,Primary Forest,21,1686,15,359,112,20,59,4.9,-0.207
206,Wang et al. 2017,"Mangshan Nature Reserve, Hunan, China",24.87,112.72,Subtropical,Primary Forest,21,1686,15,359,112,20,59,4.9,-0.528
207,Wang et al. 2017,"Mangshan Nature Reserve, Hunan, China",24.87,112.72,Subtropical,Primary Forest,21,1686,15,359,112,20,59,4.9,-1.478
208,Awasthi et al. 2005,"Mardi watershed, Nepal",28.31,83.83,Tropical,Primary Forest,30,1589,15,302,114,26,42,5.9,-1.997
209,Mapanda et al. 2010,"Mazowe District, Zimbabwe",-17.7008,31.0083,Savanna,Reforestation,34,868,18,163,142,13,29,6.1,-0.885
210,Mapanda et al. 2010,"Mazowe District, Zimbabwe",-17.7008,31.0083,Savanna,Primary Forest,34,868,18,163,142,13,29,6.1,0.683
211,Jacinthe 2015,"McCormick's Creek State Park, USA",39.28,-86.73,Temperate,Reforestation,56,1107,11,118,139,13,41,7.4,-6.108
212,Matson et al. 2017a,"Metropolitan, Panama Canal watershed, Panama",8.98,-79.55,Tropical,Secondary Forest,65,2110,27,187,163,15,15,6.2,-0.453
213,Ni et al. 2019,"Millbrook, New York, USA",41.7833,-73.7333,Temperate,Reforestation,28,1136,9,245,124,37,33,5.2,-7.464
214,Castro et al. 2000,"Mize in Florida, USA ",29.65,-82.31,Subtropical,Reforestation,71,1316,21,98,148,4,97,5.3,-1.825
215,Ullah & Moore 2011,"Mont St. Hilaire, Cada",45.56,-73.2,Temperate,Reforestation,78,1045,6,308,134,21,50,5.3,7.785
216,Ullah & Moore 2011,"Mont St. Hilaire, Cada",45.56,-73.2,Temperate,Reforestation,78,1045,6,308,134,21,50,5.3,-8.275
217,Ullah & Moore 2011,"Mont St. Hilaire, Cada",45.56,-73.2,Temperate,Reforestation,78,1045,6,308,134,21,50,5.3,-4.38
218,Ullah & Moore 2011,"Mont St. Hilaire, Cada",45.56,-73.2,Temperate,Reforestation,78,1045,6,308,134,21,50,5.3,20.44
219,Mazza et al. 2019,"Monte Morello, Italy",43.85,11.85,Subtropical,Reforestation,28,1398,11,289,104,22,82,5.7,-2.007
220,Rowlings et al. 2012,"Mooloolah River, Australia",-26,152,Subtropical,Primary Forest,14,818,20,152,160,8,52,5.7,-5.28
221,Rowlings et al. 2013,"Mooloolah River, Australia",-26.75,152.91,Subtropical,Reforestation,28,1662,19,124,110,9,29,5.5,-0.1
222,Ullah & Moore 2011,"Morgan Arboretum, Cada",45.41,-73.95,Temperate,Reforestation,90,986,6,494,142,17,28,7.4,-4.865
223,Ullah & Moore 2011,"Morgan Arboretum, Cada",45.41,-73.95,Temperate,Reforestation,90,986,6,494,142,17,28,7.4,-4.38
225,Ullah & Moore 2011,"Morgan Arboretum, Cada",45.41,-73.95,Temperate,Reforestation,90,986,6,494,142,17,28,7.4,17.52
226,Guetlein et al. 2018,"Mount Kilimanjaro, Tanzania",-2.75,37,Savanna,Primary Forest,21,585,22,80,130,6,42,7.6,-0.75
227,Guetlein et al. 2018,"Mount Kilimanjaro, Tanzania",-2.75,37,Tropical,Primary Forest,21,585,22,80,130,6,42,7.6,-5.214
228,Guetlein et al. 2018,"Mount Kilimanjaro, Tanzania",-2.75,37,Tropical,Primary Forest,21,585,22,80,130,6,42,7.6,-3.645
229,Guetlein et al. 2018,"Mount Kilimanjaro, Tanzania",-2.75,37,Tropical,Primary Forest,21,585,22,80,130,6,42,7.6,-3.623
230,Jang et al. 2006,"Mt Jumbong, South Korea",38.03,128.43,Temperate,Primary Forest,28,1375,6,207,123,13,41,7,-7.154
231,Jang et al. 2011,"Mt. Jumbong, South Korea",38.03,128.43,Temperate,Primary Forest,28,1375,6,207,123,13,41,7,-10.658
232,Morishita et al. 2007,"Nagano-1, Japan",36.13,138,Subtropical,Reforestation,59,1261,9,381,106,28,40,6.1,-20.487
233,Morishita et al. 2007,"Nagano-2, Japan",35.93,137.51,Subtropical,Reforestation,28,2006,4,301,123,17,38,6.2,-4.596
234,Morishita et al. 2007,"Nagano-3, Japan",35.13,137.51,Subtropical,Reforestation,40,2265,11,201,122,18,30,6.4,-14.915
235,Tamai et al. 2003,"Nagoya University Forest, Japan",35.2,137.56,Subtropical,Reforestation,28,2176,10,381,106,28,40,6.1,-15.586
236,Wang et al. 2017,"Nanling Nature Reserve, Guangdong, China",24,110,Subtropical,Primary Forest,21,1537,20,214,145,17,12,4.8,-0.332
237,Wang et al. 2017,"Nanling Nature Reserve, Guangdong, China",24,110,Subtropical,Primary Forest,21,1537,20,214,145,17,12,4.8,-1.353
238,Lang et al. 2019,"Nature Reserve, Xishuangbanna, China",22.0727,100.5368,Tropical,Primary Forest,15,1564,20,113,121,10,47,5.3,-2.383
239,Lang et al. 2019,"Nature Reserve, Xishuangbanna, China",22.0727,100.5368,Tropical,Reforestation,15,1564,20,113,121,10,47,5.3,-0.911
241,Mason et al. 2019 ,"Njallatjivelg, Sweden ",65.815,19.0352,Boreal,Secondary Forest,7,560,-1,1128,91,61,50,4.7,-4.243
242,Tamai et al. 2003,"Ochiai tiol Forest, Japan",35.91,137.31,Subtropical,Reforestation,34,1917,10,301,123,17,38,6.2,-10.22
243,Ishizuka et al. 2000,"OFC, Ogawa, Japan ",36.93,140.58,Temperate,Reforestation,28,1421,10,381,106,28,40,6.1,-17.885
244,Ishizuka et al. 2000,"OFD1, Ogawa, Japan ",36.93,140.58,Temperate,Primary Forest,28,1421,10,381,106,28,40,6.1,-9.125
245,Ishizuka et al. 2000,"OFD2, Ogawa, Japan ",36.93,140.58,Temperate,Primary Forest,28,1421,10,381,106,28,40,6.1,-17.885
246,Morishita et al. 2007,"Oita-1, Japan",33.18,131.28,Subtropical,Reforestation,28,2798,10,550,88,32,33,5.8,-7.58
247,Morishita et al. 2007,"Oita-2, Japan",33.2,131.28,Subtropical,Reforestation,28,2625,11,550,88,32,33,5.8,-6.558
248,Morishita et al. 2007,"Okinawa-1, Japan",26.51,127.96,Subtropical,Reforestation,65,2100,22,170,125,14,37,5,-0.841
249,Morishita et al. 2007,"Okinawa-2, Japan",26.5,127.9,Subtropical,Reforestation,65,2083,22,170,125,14,37,5,-1.022
250,Jacinthe & Lal 2004,"OSU Waterman farm, USA",40,-83.01,Temperate,Secondary Forest,93,957,11,220,148,16,25,6.1,-2.894
251,Flessa et al. 2008,"P1, Igarka, Russian Federation",67.49,86.42,Boreal,Primary Forest,20,505,-8,820,65,100,39,6.3,-1.223
252,Matson et al. 2017a,"P19, Panama Canal watershed, Pama",9.18,-79.77,Tropical,Secondary Forest,53,2521,26,163,134,15,54,5.7,-2.64
253,Matson et al. 2017a,"P27, Panama Canal watershed, Pama",9.067,-79.63,Tropical,Secondary Forest,84,2454,26,163,134,15,54,5.7,-0.68
254,Flessa et al. 2008,"P3, Igarka, Russian
Federation",67.49,86.42,Boreal,Primary Forest,20,505,-8,820,65,100,39,6.3,-0.223
255,Matson et al. 2017a,"P32, Panama Canal watershed, Pama",9.35,-79.72,Tropical,Primary Forest,46,2724,26,349,130,33,12,4.9,-1.253
256,Flessa et al. 2008,"P4, Igarka, Russian
Federation",67.49,86.42,Boreal,Primary Forest,20,505,-8,820,65,100,39,6.3,-1.617
257,Flessa et al. 2008,"P5, Igarka, Russian
Federation",67.49,86.42,Boreal,Primary Forest,20,505,-8,820,65,100,39,6.3,-0.511
258,Matson et al. 2017a,"P8, Panama Canal watershed, Pama",9.17,-79.73,Tropical,Primary Forest,28,2671,26,163,134,15,54,5.7,-1.933
259,Ishizuka et al. 2002,"Pasir Mayang, Primary forest 1, Indonesia",-1.12,102.27,Tropical,Primary Forest,28,2598,26,148,125,12,49,4.9,-2.475
260,Ishizuka et al. 2002,"Pasir Mayang, Primary forest 2, Indonesia",-1.12,102.27,Tropical,Primary Forest,28,2598,26,148,125,12,49,4.9,0.489
261,Ishizuka et al. 2002,"Pasir Mayang, Rubber plantation, Indonesia",-1.09,102.12,Tropical,Reforestation,32,2622,27,148,125,12,49,4.9,-1.497
262,Itoh et al. 2012,"Pasoh Forest, Malaysia",2.98,102.3,Tropical,Primary Forest,21,1942,27,144,131,11,44,5.2,-1.789
263,Zhang et al. 2014b,"Pearl River Delta, Chi",23.14,112.51,Tropical,Reforestation,32,1801,21,152,120,12,28,5.2,-4.263
264,Zhang et al. 2014b,"Pearl River Delta, Chi",23.14,112.51,Tropical,Reforestation,32,1801,21,152,120,12,28,5.2,-3.13
265,Zhang et al. 2014b,"Pearl River Delta, Chi",23.3,113.45,Tropical,Reforestation,21,1770,21,108,121,10,47,5.3,-3.095
266,Zhang et al. 2014b,"Pearl River Delta, Chi",23.3,113.45,Tropical,Reforestation,21,1770,21,108,121,10,47,5.3,-2.803
267,Zhang et al. 2014b,"Pearl River Delta, Chi",23.46,111.9,Subtropical,Reforestation,28,1713,20,108,121,10,49,5.3,-4.695
268,Zhang et al. 2014b,"Pearl River Delta, Chi",23.46,111.9,Subtropical,Reforestation,28,1713,20,108,121,10,49,5.3,-4.053
269,Bradford et al. 2001,"Perridge Forest, England",50.7019,-3.6083,Temperate,Reforestation,54,990,10,633,98,17,30,5,-5.878
270,"Sarauer and Coleman, 2018","Pilchuck, USA",48.29,-122.24,Temperate,Afforestation,53,1254,9,154,142,52,58,6.4,-2.214
271,Wang et al. 2013b,"Pingxiang City, Guangxi, China",22.16,106.83,Subtropical,Afforestation,32,1311,22,119,123,11,47,5.3,-4.485
272,Wolf et al. 2012,"Podocarpus tiol Park, Ecuador",-4.1,-79.18,Tropical,Primary Forest,28,1127,13,55,124,3,63,7.5,-0.8
273,Wolf et al. 2012,"Podocarpus tiol Park, Ecuador",-4.1,-79.18,Tropical,Primary Forest,28,1127,13,55,124,3,63,7.5,-2.133
274,Wolf et al. 2012,"Podocarpus tiol Park, Ecuador",-4.1,-79.18,Tropical,Primary Forest,28,1127,13,55,124,3,63,7.5,-1.333
275,Wolf et al. 2012,"Podocarpus tiol Park, Ecuador",-4.1,-78.96,Tropical,Primary Forest,34,1553,23,225,129,17,47,5.3,-7.333
276,Wolf et al. 2012,"Podocarpus tiol Park, Ecuador",-4.1,-78.96,Tropical,Primary Forest,34,1553,23,225,129,17,47,5.3,-7.2
277,Wolf et al. 2012,"Podocarpus tiol Park, Ecuador",-4.1,-78.96,Tropical,Primary Forest,34,1553,23,225,129,17,47,5.3,-7.867
278,Wolf et al. 2012,"Podocarpus tiol Park, Ecuador",-3.96,-79.06,Tropical,Primary Forest,26,833,17,225,129,17,47,5.3,-3.067
279,Wolf et al. 2012,"Podocarpus tiol Park, Ecuador",-3.96,-79.06,Tropical,Primary Forest,26,833,17,225,129,17,47,5.3,-5.733
280,Wolf et al. 2012,"Podocarpus tiol Park, Ecuador",-3.96,-79.06,Tropical,Primary Forest,26,833,17,225,129,17,47,5.3,-3.6
281,Beas et al. 2019,"Puerto Montt, Chile",-41.45,-73.13333333,Temperate,Primary Forest,28,1750,11,519,109,28,41,5.2,-3.32
282,Purbopuspito et al. 2006,"Puncak Dingin, Indonesia",-1.26,120.3,Tropical,Primary Forest,7,2137,14,277,125,20,46,5.2,-1.935
283,Tate et al. 2006,"Purukohukohu, New Zealand",-39.26,175.498,Subtropical,Reforestation,9,2098,7,116,106,14,70,6.3,-12
284,Haghverdia & Koochb 2020,"Qaemshahr, Mazandaran, northern Iran",36.3075,52.8625,Savanna,Reforestation,28,604,16,125,134,10,34,7.4,-0.183
285,Haghverdia & Koochb 2020,"Qaemshahr, Mazandaran, northern Iran",36.3075,52.8625,Savanna,Reforestation,28,604,16,125,134,10,34,7.4,-0.146
286,Haghverdia & Koochb 2020,"Qaemshahr, Mazandaran, northern Iran",36.3075,52.8625,Savanna,Reforestation,28,604,16,125,134,10,34,7.4,0.255
287,Haghverdia & Koochb 2020,"Qaemshahr, Mazandaran, northern Iran",36.3075,52.8625,Savanna,Primary Forest,28,604,16,125,134,10,34,7.4,0.438
288,Haghverdia & Koochb 2020,"Qaemshahr, Mazandaran, northern Iran",36.3075,52.8625,Savanna,Reforestation,28,604,16,125,134,10,34,7.4,0.402
289,Li et al. 2015,"Qianyanzhou, China",26.74,115.05,Subtropical,Reforestation,28,1516,18,154,117,11,41,4.7,-0.637
290,Wang et al. 2013a,"Qianyanzhou, China",26.74,115.05,Subtropical,Afforestation,28,1516,18,154,117,11,41,4.7,-1.25
291,Semenov et al. 2004,"RAS Experimental Field Station, Russian",55.7,37.56,Temperate,Agroforestry,87,673,5,159,138,12,34,5.6,-3.037
292,Mason et al. 2019 ,"Reivo, Sweden",65.7744,19.1052,Boreal,Primary Forest,7,573,-1,1128,91,61,50,4.7,-2.399
293,Yao et al. 2019,"Rierlangshan catchment, Tibetan Plateu, China",34.0333,102.7166,Temperate,Primary Forest,25,651,2,507,125,52,37,5.8,-2.24
294,Veloso et al. 2019,"Rio Negrinho, SC, Brazil",-26.38638889,-49.5594,Subtropical,Primary Forest,21,1527,16,273,109,24,18,4.4,-10.77
295,Veloso et al. 2019,"Rio Negrinho, SC, Brazil",-26.38638889,-49.5594,Subtropical,Reforestation,21,1527,16,273,109,24,18,4.4,-1.83
296,Veloso et al. 2019,"Rio Negrinho, SC, Brazil",-26.38638889,-49.5594,Subtropical,Reforestation,21,1527,16,273,109,24,18,4.4,-3.275
297,Purbopuspito et al. 2006,"Rorekatimbu, Indonesia",-1.31,120.3,Tropical,Primary Forest,7,2031,17,277,125,20,46,5.2,-4.427
298,Jones et al. 2016,"San Pedro, Andes",-13.04,-71.53,Tropical,Primary Forest,14,2443,21,79,142,6,76,4.9,-5.109
299,Teh et al. 2014,"San Pedro, Peru",-13.04,-71.53,Tropical,Primary Forest,14,2443,21,79,142,6,76,4.9,-3.113
300,Simona et al. 2004,"Santa Bárbara, Venezuelan",9.75,-63.45,Savanna,Primary Forest,43,1096,26,83,154,6,63,4.4,0.188
301,Simona et al. 2004,"Santa Bárbara, Venezuelan",9.75,-63.45,Savanna,Primary Forest,43,1096,26,83,154,6,63,4.4,0.84
302,Sakabe et al. 2016,"Shiga Prefecture, Japan ",35,136,Subtropical,Reforestation,65,1606,15,216,121,18,38,5.1,-6.055
303,Sakabe et al. 2015,"Shiga Prefecture, Plot A, central Japan",35,136,Subtropical,Reforestation,65,1606,15,216,121,18,38,5.1,-1.893
304,Sakabe et al. 2015,"Shiga Prefecture, Plot B, central Japan",35,136,Subtropical,Reforestation,65,1606,15,216,121,18,38,5.1,-11
305,Sakabe et al. 2015,"Shiga Prefecture, Plot C, central Japan",35,136,Subtropical,Reforestation,65,1606,15,216,121,18,38,5.1,-2.16
306,Itoh et al. 2009,"Shiga Prefecture, plot L, central Japan",35,136,Subtropical,Reforestation,65,1606,15,216,121,18,38,5.1,0.402
307,Itoh et al. 2009,"Shiga Prefecture, plot M, central Japan",35,136,Subtropical,Reforestation,65,1606,15,216,121,18,38,5.1,-0.937
308,Itoh et al. 2009,"Shiga Prefecture, plot U, central Japan",35,136,Subtropical,Reforestation,65,1606,15,216,121,18,38,5.1,-2.202
309,Morishita et al. 2007,"Shimane-1, Japan",35.15,132.65,Temperate,Reforestation,39,1824,12,201,122,18,30,6.4,-8.976
310,Morishita et al. 2007,"Shimane-2, Japan",35.15,132.65,Temperate,Reforestation,39,1824,12,201,122,18,30,6.4,-10.699
311,Zhou et al. 2019,"Sichuan Province, China",31.269,105.4696,Temperate,Afforestation,34,1001,17,52,140,6,32,7.9,-1.691
312,Zhou et al. 2019,"Sichuan Province, China",31.269,105.4696,Temperate,Afforestation,34,1001,17,52,140,6,32,7.9,-1.848
313,Zhou et al. 2019,"Sichuan Province, China",31.269,105.4696,Temperate,Afforestation,34,1001,17,52,140,6,32,7.9,-3.013
314,Zhou et al. 2019,"Sichuan Province, China",31.269,105.4696,Temperate,Secondary Forest,34,1001,17,52,140,6,32,7.9,-1.629
315,Meyer et al. 2013,"Skogaryd, Sweden",58.38,12.15,Boreal,Afforestation,28,830,6,482,122,26,46,5.7,-4.398
317,Borken & Beese 2006,"Solling, Germany",51.76,-9.58,Boreal,Reforestation,32,1495,10,4390,48,50,55,4.2,-3.666
318,Borken & Beese 2006,"Solling, Germany",51.76,-9.58,Boreal,Reforestation,32,1495,10,4390,48,50,55,4.2,-5.013
319,Borken & Beese 2006,"Solling, Germany",51.76,-9.58,Boreal,Reforestation,32,1495,10,4390,48,50,55,4.2,-4.506
320,Borken & Beese 2006,"Solling, Germany",51.76,-9.58,Boreal,Reforestation,32,1495,10,4390,48,50,55,4.2,-1.894
321,Borken et al. 2002,"Solling, Germany",51.51,9.56,Boreal,Reforestation,28,894,8,263,123,29,52,6.2,-1.409
322,Borken et al. 2003,"Solling, Germany",51.56,9.66,Boreal,Reforestation,40,890,8,153,140,10,25,5.9,-1.759
323,Borken et al. 2003,"Solling, Germany",51.76,9.56,Boreal,Reforestation,34,1075,7,153,140,10,25,5.9,-1.451
324,Borken et al. 2003,"Solling, Germany",51.76,9.58,Boreal,Reforestation,28,1087,7,153,140,10,25,5.9,-3.995
325,Raut et al. 2014,"Someshora Ashram, India",12.03,77.08,Tropical,Primary Forest,50,663,25,124,146,10,41,7.1,-2.598
326,Mori et al. 2013,"South Sumatra, Indonesia",-3.7,104,Tropical,Reforestation,21,2972,26,172,134,15,41,4.7,-0.535
327,Allen et al. 2009,"South-east Queensland, Australia",-26,151,Subtropical,Afforestation,7,665,20,101,129,8,52,7.6,-1.62
328,Allen et al. 2009,"South-east Queensland, Australia",-26,151,Subtropical,Agroforestry,7,665,20,101,129,8,52,7.6,-1.72
329,Allen et al. 2009,"South-east Queensland, Australia",-26,151,Subtropical,Agroforestry,7,665,20,101,129,8,52,7.6,-3.43
330,Klemedtsson et al. 2010,Southwest Sweden,58.38,12.15,Boreal,Afforestation,28,830,6,482,122,26,46,5.7,-4.449
331,Weslien et al. 2009,Southwest Sweden,58.33,13.5,Temperate,Secondary Forest,34,619,6,386,121,25,47,5.2,-0.8
332,Allen et al. 2009,South-western Australia,-35,118,Subtropical,Afforestation,23,843,16,92,136,6,67,6.1,-0.61
333,Allen et al. 2009,South-western Australia,-35,118,Subtropical,Afforestation,23,843,16,92,136,6,67,6.1,-0.53
334,Allen et al. 2009,South-western Australia,-35,118,Subtropical,Afforestation,23,843,16,92,136,6,67,6.1,-0.96
335,Jacinthe 2015,"Southwestway Park, USA",39.65,-86.23,Temperate,Reforestation,46,1026,11,224,144,20,21,7,-7.639
336,Christiansen & Gundersen 2012,"Strødam, Denmark",55.95,12.27,Temperate,Primary Forest,59,593,8,3458,45,20,85,4.1,3.037
337,Hassler et al. 2015,"Sumatra, Indonesia",-1.94,102.58,Tropical,Reforestation,15,2908,26,148,125,12,49,4.9,-0.694
338,Hassler et al. 2015,"Sumatra, Indonesia",-1.94,102.58,Tropical,Reforestation,15,2908,26,148,125,12,49,4.9,-0.387
339,Hassler et al. 2015,"Sumatra, Indonesia",-1.94,102.58,Tropical,Primary Forest,15,2908,26,148,125,12,49,4.9,-2.467
340,Hassler et al. 2015,"Sumatra, Indonesia",-1.94,102.58,Tropical,Primary Forest,15,2908,26,148,125,12,49,4.9,-4.84
341,Hassler et al. 2015,"Sumatra, Indonesia",-1.79,103.24,Tropical,Reforestation,32,2632,27,148,125,12,49,4.9,-1.84
342,Hassler et al. 2015,"Sumatra, Indonesia",-1.79,103.24,Tropical,Reforestation,32,2632,27,148,125,12,49,4.9,-1.241
343,Hassler et al. 2015,"Sumatra, Indonesia",-1.79,103.24,Tropical,Primary Forest,32,2632,27,148,125,12,49,4.9,-3.227
344,Hassler et al. 2015,"Sumatra, Indonesia",-1.79,103.24,Tropical,Primary Forest,32,2632,27,148,125,12,49,4.9,-0.241
345,Liu et al. 2014,"Taihang Mountain, China",37.87,114.26,Temperate,Primary Forest,40,515,13,56,142,6,38,8,-8.681
346,Liu et al. 2014,"Taihang Mountain, China",37.87,114.26,Temperate,Primary Forest,40,515,13,56,142,6,38,8,-18.843
347,Liu et al. 2014,"Taihang Mountain, China",37.87,114.26,Temperate,Reforestation,40,515,13,56,142,6,38,8,-11.519
348,Liu et al. 2014,"Taihang Mountain, China",37.87,114.26,Temperate,Reforestation,40,515,13,56,142,6,38,8,-13.306
349,Liu et al. 2014,"Taihang Mountain, China",37.87,114.26,Temperate,Primary Forest,40,515,13,56,142,6,38,8,-8.874
350,Liu et al. 2014,"Taihang Mountain, China",37.87,114.26,Temperate,Reforestation,40,515,13,56,142,6,38,8,-8.322
351,De Bernardi et al. 2019,"Tandil, Buenos Aires, Argentina",-31.2835,-59.1167,Subtropical,Afforestation,14,1122,19,138,118,12,20,7.4,-4.463
352,Priano et al. 2014,"Tandil, Buenos Aires, Argentina",-37.363,-59.1135,Subtropical,Afforestation,40,898,13,334,128,31,34,6.9,-0.053
353,Priano et al. 2014,"Tandil, Buenos Aires, Argentina",-37.3212,-59.363,Subtropical,Afforestation,36,881,14,369,129,32,33,6.3,-0.031
354,Priano et al. 2014,"Tandil, Buenos Aires, Argentina",-37.2835,-59.11678,Subtropical,Agroforestry,81,919,14,369,129,32,33,6.3,-0.078
355,Priano et al. 2017,"Tandil, Buenos Aires, Argentina",-37.3212,-59.363,Subtropical,Afforestation,36,881,14,369,129,32,33,6.3,-0.035
356,Priano et al. 2017,"Tandil, Buenos Aires, Argentina",-37.3212,-59.363,Subtropical,Agroforestry,36,881,14,369,129,32,33,6.3,-0.126
357,Priano et al. 2017,"Tandil, Buenos Aires, Argentina",-37.3212,-59.363,Subtropical,Afforestation,36,881,14,369,129,32,33,6.3,-0.086
359,Keller et al. 2005,"Tapajos tiol Forest, Brazil",-3.04,-54.95,Tropical,Primary Forest,10,1847,26,173,128,10,50,3.5,-0.73
360,Keller et al. 2005,"Tapajos tiol Forest, Brazil",-3.04,-54.95,Tropical,Primary Forest,10,1847,26,173,128,10,50,3.5,-3.468
361,Davidson et al. 2004,"Tapajós tiol Forest, Brazil",-2.8968,-54.9519,Tropical,Primary Forest,23,1870,25,173,128,10,50,3.5,-1.1
362,Davidson et al. 2008,"Tapajós tiol Forest, Brazil ",-2.8968,-54.9519,Tropical,Primary Forest,23,1870,25,173,128,10,50,3.5,-1.6
363,Uri et al. 2019,"Tartu, Estonia",58.2836,27.1619,Temperate,Reforestation,23,611,5,1090,16,279,56,6.5,-3.907
364,Castaldi et al. 2010,"Tchizalamou, Congo",-4.289,11.6563,Savanna,Primary Forest,18,1317,26,80,136,6,77,5.3,0.548
365,Warlo et al. 2019,"Tepfenharder Wald, Ravensburg, Germany",47.7699,9.4697,Temperate,Reforestation,40,979,9,192,131,9,61,6.2,-1.5
366,Warlo et al. 2019,"Tepfenharder Wald, Ravensburg, Germany",47.7699,9.4697,Temperate,Reforestation,40,979,9,192,131,9,61,6.2,-4
367,Kim et al. 2011,"Teshio, Japan",44.95,142.01,Temperate,Secondary Forest,20,1137,5,325,118,19,40,6.2,-3.502
368,Zhang et al. 2015,"Tianze Forest Farm, Chi",30.41,120.43,Subtropical,Reforestation,46,1222,16,132,108,11,33,5.5,-3.19
369,Zhang et al. 2014a,"Tianze Forest Farm, China",30.41,120.43,Subtropical,Reforestation,46,1222,16,132,108,11,33,5.5,-2.9
370,Yu et al. 2017,"Tieshanping, China (block 1 and 2)",35.33,112.83,Temperate,Secondary Forest,34,614,11,43,119,5,36,8.3,0.444
371,van Straaten et al. 2019,"Tiogo, Koudougou, Burkina Faso",12.223,2.706,Savanna,Secondary Forest,26,694,28,74,144,8,71,6.4,0.196
372,Tamai et al. 2003,"Tokyo University Forest, Japan",35.23,137.13,Subtropical,Reforestation,90,2105,14,216,121,18,38,5.1,-7.702
373,Maris et al. 2015,"Torres de Segre, Spain",41.61,0.63,Subtropical,Afforestation,93,362,15,48,135,5,37,8,-39
375,Morishita et al. 2007,"Toyama-1, Janpan",36.56,137.36,Subtropical,Reforestation,21,1775,11,199,121,17,41,5.4,-6.874
376,Morishita et al. 2007,"Toyama-2, Janpan",36.33,137.01,Subtropical,Primary Forest,17,1989,7,301,123,17,38,6.2,-7.172
377,Borken et al. 2003,"Unterlüß, Germany",52.83,10.26,Boreal,Reforestation,21,807,8,192,132,6,92,4.5,-1.989
378,Borken et al. 2003,"Unterlüß, Germany",52.83,10.28,Boreal,Reforestation,21,807,8,192,132,6,92,4.5,-1.371
379,Borken et al. 2003,"Unterlüß, Germany",52.83,10.3,Boreal,Reforestation,39,803,8,192,132,6,92,4.5,-3.311
380,Médice Firme Sá et al. 2019,"Ushuaia, Tierra del Fuego, Argentina",-54.7943,-68.3952,Temperate,Primary Forest,40,645,2,1391,91,113,35,6.6,-4.652
381,?upek et al. 2015,"Vatiharju-Lakkasuo, Finland",61.78,24.31,Boreal,Reforestation,40,661,3,317,128,18,77,4.1,-3.329
382,Mäkiranta et al. 2012,"Vesijako Research Forest, Finland",61.36,25.11,Boreal,Primary Forest,17,631,4,317,128,18,77,4.1,-4.307
383,Christiansen & Gundersen 2011,"Vestskoven, Denmark",55.68,12.35,Boreal,Afforestation,65,610,8,456,137,10,54,5.8,-0.899
384,Christiansen & Gundersen 2011,"Vestskoven, Denmark",55.68,12.35,Boreal,Afforestation,65,610,8,456,137,10,54,5.8,-1.04
385,Christiansen & Gundersen 2011,"Vestskoven, Denmark",55.68,12.35,Boreal,Afforestation,65,610,8,456,137,10,54,5.8,-0.853
386,Christiansen & Gundersen 2011,"Vestskoven, Denmark",55.68,12.35,Boreal,Afforestation,65,610,8,456,137,10,54,5.8,-1.098
387,Fest et al. 2015b,"Victoria, Australia",-37.42,144.08,Temperate,Primary Forest,32,1018,11,116,153,10,68,6.4,-3.843
388,Fest et al. 2017a,"Victorian forest, Melbourne, Australia",-37.42,144.09,Temperate,Primary Forest,31,1050,11,116,153,10,68,6.4,-1.79
389,Jones et al. 2016,"Villa Carmen, Andes",-12.89,-71.4,Tropical,Primary Forest,14,3264,24,79,142,6,76,4.9,-0.73
390,Morishita et al. 2007,"Wakayama-1, Japan",33.66,135.65,Subtropical,Reforestation,34,2330,14,201,122,18,30,6.4,-3.498
391,Morishita et al. 2007,"Wakayama-2, Japan",33.66,135.65,Subtropical,Primary Forest,34,2330,14,201,122,18,30,6.4,-7.125
392,Fest et al. 2015b,"Warra, Australia",-26.91,150.95,Subtropical,Primary Forest,14,633,20,88,133,9,34,7.5,-4.753
393,Fest et al. 2015b,"Warra, Australia",-26.91,150.95,Subtropical,Secondary Forest,14,633,20,88,133,9,34,7.5,-8.217
394,Fest et al. 2015b,"Warra, Australia",-26.91,150.95,Subtropical,Secondary Forest,14,633,20,88,133,9,34,7.5,-8.295
395,Fest et al. 2015b,"Warra, Australia",-26.91,150.95,Subtropical,Secondary Forest,14,633,20,88,133,9,34,7.5,-1.923
396,Fest et al. 2015b,"Warra, Australia",-26.91,150.95,Subtropical,Primary Forest,14,633,20,88,133,9,34,7.5,-1.912
